#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         458    -5.45933     -5.5523  0.00790557
         459    -5.46627    -5.55212  0.00789057
         460    -5.49826      -5.552  0.00787428
         461    -5.50615     -5.5519  0.00785783
         462    -5.56337    -5.55193  0.00784086
         463    -5.48763    -5.55179  0.00782516
         464    -5.49981    -5.55167  0.00780909
         465    -5.50733    -5.55158  0.00779288
         466    -5.50003    -5.55147  0.00777694
         467    -5.40086    -5.55115  0.00776697
         468    -5.51294    -5.55106  0.00775081
         469    -5.48304    -5.55092  0.00773564
         470    -5.53778    -5.55089  0.00771923
         471    -5.45264    -5.55068  0.00770566
         472    -5.44554    -5.55046  0.00769255
         473    -5.43334    -5.55021  0.00768027
         474    -5.37853    -5.54985  0.00767261
         475     -5.4567    -5.54965  0.00765896
         476    -5.37579    -5.54929  0.00765157
         477    -5.32761    -5.54882  0.00764963
         478    -5.39988    -5.54851  0.00763997
         479    -5.43526    -5.54828  0.00762768
         480    -5.48717    -5.54815  0.00761285
         481    -5.52006    -5.54809  0.00759725
         482    -5.50751    -5.54801  0.00758195
         483    -5.55005    -5.54801  0.00756626
         484    -5.57194    -5.54806  0.00755078
         485    -5.56442    -5.54809  0.00753529
         486    -5.58384    -5.54817  0.00752015
         487    -5.54004    -5.54815  0.00750472
         488    -5.69051    -5.54844  0.00749501
         489    -5.72844    -5.54881  0.00748872
         490    -5.69833    -5.54912  0.00747965
         491    -5.64019     -5.5493  0.00746671
         492    -5.56424    -5.54933   0.0074516
         493    -5.55566    -5.54934   0.0074365
         494    -5.46274    -5.54917  0.00742351
         495    -5.50092    -5.54907  0.00740915
         496    -5.59446    -5.54916  0.00739478
         497    -5.55915    -5.54918  0.00737993
         498    -5.54994    -5.54918  0.00736511
         499    -5.52976    -5.54915  0.00735045
         500     -5.5098    -5.54907  0.00733617
         501    -5.55553    -5.54908  0.00732154
         502    -5.44274    -5.54887  0.00731002
         503    -5.48827    -5.54875  0.00729648
         504    -5.49098    -5.54863   0.0072829
         505    -5.46017    -5.54846  0.00727059
         506    -5.35634    -5.54808  0.00726613
         507    -5.37305    -5.54773  0.00725999
         508    -5.42265    -5.54749  0.00724987
         509    -5.51139    -5.54742  0.00723598
         510    -5.51601    -5.54735  0.00722205
         511    -5.45582    -5.54718  0.00721014
         512    -5.48236    -5.54705  0.00719717
         513    -5.43737    -5.54683  0.00718631
         514    -5.46113    -5.54667  0.00717427
         515    -5.43202    -5.54645  0.00716379
         516    -5.45968    -5.54628  0.00715188
         517    -5.43716    -5.54607  0.00714116
         518     -5.5856    -5.54614  0.00712778
         519     -5.4437    -5.54594  0.00711678
         520    -5.43535    -5.54573  0.00710627
         521    -5.43334    -5.54552   0.0070959
         522    -5.35854    -5.54516  0.00709134
         523    -5.41232     -5.5449  0.00708233
         524    -5.47073    -5.54476  0.00707023
         525    -5.40935     -5.5445  0.00706147
         526    -5.33951    -5.54412  0.00705879
         527    -5.32026    -5.54369  0.00705816
         528    -5.34834    -5.54332  0.00705449
         529    -5.33667    -5.54293  0.00705196
         530    -5.29746    -5.54247  0.00705384
         531    -5.28935    -5.54199  0.00705665
