T:    MU:       SIGMA:     ENERGY:      EN_ERR:    MEAN_ACCEPTANCE:   BEST_ENERGY:
0.0778391    0.705569    0.591627    -0.40644  0.00368553     0.73488   -0.446039
0.0770607     0.73451    0.583525   -0.422295  0.00304419     0.72966   -0.446039
0.0762901    0.698574    0.574968   -0.389955  0.00347118     0.73188   -0.446039
0.0755272    0.670029    0.581397   -0.371499   0.0038389     0.73144   -0.446039
0.0747719    0.660201    0.584374   -0.371097  0.00454338      0.7293   -0.446039
0.0740242     0.62808    0.587083   -0.336789  0.00447341     0.71572   -0.446039
0.073284    0.607725    0.600521   -0.315372  0.00476809      0.7037   -0.446039
0.0725511     0.60648    0.583678   -0.314427  0.00587522     0.70462   -0.446039
0.0718256    0.619329    0.596649   -0.328687  0.00513513     0.71124   -0.446039
0.0711074    0.619329    0.596649   -0.328687  0.00513513     0.71124   -0.446039
0.0703963    0.632869    0.593785   -0.348691  0.00411376     0.71998   -0.446039
0.0696923    0.641483    0.598226   -0.354528  0.00469353      0.7221   -0.446039
0.0689954    0.612759    0.605004   -0.327425  0.00495954     0.70144   -0.446039
0.0683055    0.612587    0.619114   -0.332459  0.00496002     0.70568   -0.446039
0.0676224    0.643109    0.625729   -0.362062  0.00483406     0.72218   -0.446039
0.0669462    0.632605     0.62194   -0.351353  0.00403814     0.71878   -0.446039
0.0662767    0.662254    0.617765   -0.386705  0.00378878     0.73074   -0.446039
0.0656139    0.671236     0.60827   -0.390418  0.00478812      0.7329   -0.446039
0.0649578    0.692933    0.604753   -0.398597  0.00345415        0.74   -0.446039
0.0643082    0.662033    0.606808   -0.378928  0.00327849      0.7322   -0.446039
0.0636651    0.692437    0.592745    -0.39821   0.0038887     0.73788   -0.446039
0.0630285    0.701876    0.585421    -0.39792  0.00402354     0.73502   -0.446039
0.0623982     0.70355    0.594843   -0.409258  0.00343916     0.73936   -0.446039
0.0617742     0.69026     0.58494   -0.392672   0.0043591       0.732   -0.446039
0.0611565    0.694112    0.590808   -0.405451  0.00409299     0.73298   -0.446039
0.0605449    0.694112    0.590808   -0.405451  0.00409299     0.73298   -0.446039
0.0599395    0.711158      0.5915   -0.415513  0.00378405     0.73582   -0.446039
0.0593401    0.727334    0.587968   -0.416234  0.00346234     0.73252   -0.446039
0.0587467    0.722943     0.60155   -0.423813  0.00358183     0.74076   -0.446039
0.0581592    0.727779    0.597955   -0.422841  0.00280919     0.73762   -0.446039
0.0575776    0.729188    0.604846   -0.422651  0.00346766     0.73936   -0.446039
0.0570018    0.703158    0.615661   -0.409437  0.00433255     0.74584   -0.446039
0.0564318    0.714484    0.622227   -0.417484  0.00407627     0.74276   -0.446039
0.0558675    0.738546    0.627972   -0.421979  0.00622249     0.75222   -0.446039
0.0553088     0.75472    0.640607   -0.434099  0.00367684      0.7558   -0.446039
0.0547557    0.747967    0.638354   -0.435569  0.00311612      0.7543   -0.446039
0.0542082    0.730089    0.649297   -0.424295  0.00410662     0.75342   -0.446039
