#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         539    -5.25808    -5.57334   0.0162389
         540    -5.25624    -5.57275   0.0162195
         541    -5.25442    -5.57216   0.0162002
         542    -5.25355    -5.57157   0.0161809
         543    -5.25213    -5.57098   0.0161618
         544    -5.25093     -5.5704   0.0161428
         545    -5.25088    -5.56981   0.0161238
         546    -5.25064    -5.56923   0.0161049
         547    -5.25037    -5.56864    0.016086
         548    -5.25009    -5.56806   0.0160672
         549     -5.2504    -5.56748   0.0160483
         550    -5.25147    -5.56691   0.0160294
         551     -5.2527    -5.56634   0.0160105
         552    -5.25424    -5.56577   0.0159914
         553    -5.25579    -5.56521   0.0159723
         554    -5.25811    -5.56466   0.0159531
         555    -5.26027    -5.56411   0.0159338
         556    -5.26319    -5.56357   0.0159143
         557    -5.26625    -5.56303   0.0158947
         558    -5.26913    -5.56251   0.0158749
         559    -5.27213    -5.56199    0.015855
         560    -5.27613    -5.56148   0.0158349
         561    -5.27992    -5.56098   0.0158147
         562    -5.28363    -5.56048   0.0157942
         563    -5.28784       -5.56   0.0157736
         564    -5.29269    -5.55952   0.0157527
         565    -5.29757    -5.55906   0.0157317
         566    -5.30259    -5.55861   0.0157104
         567    -5.30745    -5.55816    0.015689
         568    -5.31258    -5.55773   0.0156673
         569    -5.31811    -5.55731   0.0156454
         570    -5.32403     -5.5569   0.0156233
         571    -5.32971     -5.5565    0.015601
         572    -5.33501    -5.55612   0.0155786
         573    -5.34035    -5.55574   0.0155559
         574    -5.34632    -5.55538   0.0155331
         575    -5.35202    -5.55502   0.0155101
         576    -5.35774    -5.55468    0.015487
         577    -5.36361    -5.55435   0.0154637
         578    -5.36919    -5.55403   0.0154402
         579    -5.37462    -5.55372   0.0154167
         580     -5.3805    -5.55342    0.015393
         581    -5.38638    -5.55313   0.0153692
         582    -5.39196    -5.55285   0.0153453
         583    -5.39799    -5.55259   0.0153212
         584    -5.40402    -5.55233   0.0152971
         585     -5.4096    -5.55209   0.0152729
         586    -5.41518    -5.55186   0.0152486
         587    -5.42137    -5.55163   0.0152243
         588    -5.42711    -5.55142   0.0151999
         589    -5.43239    -5.55122   0.0151754
         590    -5.43843    -5.55103   0.0151509
         591    -5.44416    -5.55085   0.0151263
         592    -5.44957    -5.55068   0.0151017
         593     -5.4554    -5.55052   0.0150771
         594    -5.46074    -5.55037   0.0150525
         595    -5.46633    -5.55022   0.0150279
         596    -5.47125    -5.55009   0.0150032
         597    -5.47698    -5.54997   0.0149786
         598    -5.48185    -5.54986    0.014954
         599    -5.48674    -5.54975   0.0149294
         600    -5.49179    -5.54965   0.0149048
         601    -5.49653    -5.54957   0.0148803
         602    -5.50124    -5.54949   0.0148558
         603    -5.50529    -5.54941   0.0148313
         604    -5.50974    -5.54935   0.0148069
         605    -5.51396    -5.54929   0.0147826
         606    -5.51778    -5.54924   0.0147583
         607    -5.52121    -5.54919    0.014734
         608    -5.52454    -5.54915   0.0147098
         609    -5.52746    -5.54911   0.0146857
         610    -5.52997    -5.54908   0.0146617
         611    -5.53193    -5.54905   0.0146377
         612    -5.53364    -5.54903   0.0146138
         613    -5.53525    -5.54901     0.01459
         614    -5.53694    -5.54899   0.0145662
         615    -5.53826    -5.54897   0.0145426
         616    -5.53953    -5.54895    0.014519
         617    -5.54061    -5.54894   0.0144954
         618    -5.54227    -5.54893    0.014472
         619    -5.54287    -5.54892   0.0144486
         620     -5.5438    -5.54891   0.0144253
         621     -5.5443     -5.5489   0.0144021
         622    -5.54501     -5.5489   0.0143789
         623    -5.54549    -5.54889   0.0143559
         624    -5.54559    -5.54889   0.0143329
         625    -5.54609    -5.54888   0.0143099
         626    -5.54595    -5.54888   0.0142871
         627    -5.54592    -5.54887   0.0142643
         628    -5.54601    -5.54887   0.0142416
         629    -5.54608    -5.54886   0.0142189
         630    -5.54599    -5.54886   0.0141964
         631    -5.54617    -5.54886   0.0141739
         632     -5.5465    -5.54885   0.0141514
