# BLOCK     VELOCITY     AVE_POFV     CUM_AVG_POFV     ERROR
          16           0   0.0128232    0.010783 0.000641262
          16    0.139841   0.0887471   0.0791076  0.00181966
          16    0.279682    0.204023    0.206422  0.00286812
          16    0.419524    0.353245    0.364137  0.00338934
          16    0.559365    0.544864    0.526526  0.00660314
          16    0.699206    0.659258    0.654216  0.00586397
          16    0.839047    0.756634    0.750415  0.00435383
          16    0.978888    0.832691    0.785449  0.00674203
          16     1.11873    0.752573     0.75759  0.00662977
          16     1.25857    0.704039    0.700765  0.00605759
          16     1.39841    0.581038    0.599388   0.0046918
          16     1.53825    0.439145    0.491659  0.00561452
          16     1.67809    0.379112    0.386305  0.00406747
          16     1.81794    0.259863    0.285611  0.00429486
          16     1.95778    0.203273    0.203189  0.00314088
          16     2.09762    0.149972    0.139528  0.00215099
          16     2.23746   0.0914618   0.0887719  0.00197208
          16      2.3773   0.0589514   0.0521494  0.00156663
          16     2.51714   0.0325104   0.0313076  0.00170739
          16     2.65698   0.0210556    0.017476  0.00108752
          16     2.79682   0.0135515  0.00953876 0.000731086
          16     2.93666  0.00754825   0.0055329 0.000622644
          16     3.07651  0.00361963  0.00268575 0.000378752
          16     3.21635 0.000971119  0.00128839  0.00029649
          16     3.35619           0 0.000467627 0.000164508
          16     3.49603           0 0.000237262 8.67507e-05
          16     3.63587           0  0.00012001 5.92985e-05
          16     3.77571           0 9.24219e-05 5.86613e-05
          16     3.91555           0 5.10389e-05 3.09509e-05
          16     4.05539           0  8.9663e-05 5.53999e-05
          17           0   0.0155158   0.0110614 0.000661218
          17    0.139841   0.0857233   0.0794968  0.00175375
          17    0.279682    0.201882    0.206155  0.00271181
          17    0.419524     0.34989    0.363299  0.00329194
          17    0.559365    0.536256    0.527098  0.00623948
          17    0.699206    0.681042    0.655794  0.00572741
          17    0.839047     0.74231    0.749938  0.00412374
          17    0.978888    0.784929    0.785419  0.00634551
          17     1.11873    0.744231    0.756804  0.00628619
          17     1.25857    0.693754    0.700352  0.00571528
          17     1.39841    0.629065    0.601133  0.00472944
          17     1.53825    0.491497     0.49165  0.00528426
          17     1.67809    0.380988    0.385993  0.00384022
          17     1.81794    0.283765    0.285503  0.00404359
          17     1.95778    0.191951    0.202528  0.00302489
          17     2.09762    0.142821    0.139722  0.00203317
          17     2.23746   0.0869593   0.0886653  0.00185896
          17      2.3773   0.0478938   0.0518991  0.00149434
          17     2.51714   0.0311862   0.0313004  0.00160697
          17     2.65698   0.0137281   0.0172555  0.00104566
          17     2.79682  0.00719511   0.0094009 0.000700959
          17     2.93666  0.00437004  0.00546449 0.000589763
          17     3.07651    0.002803  0.00269265 0.000356535
          17     3.21635 0.000794552  0.00125934 0.000280469
          17     3.35619 0.000419347 0.000464787 0.000154856
          17     3.49603           0 0.000223306 8.27628e-05
          17     3.63587           0 0.000112951  5.6229e-05
          17     3.77571           0 8.69853e-05  5.5462e-05
          17     3.91555           0 4.80367e-05 2.92755e-05
          17     4.05539           0 8.43887e-05 5.23915e-05
          18           0    0.015869   0.0113285 0.000676278
          18    0.139841   0.0883719   0.0799898  0.00172423
          18    0.279682    0.229581    0.207457  0.00285643
          18    0.419524    0.373749    0.363879  0.00315984
          18    0.559365    0.530673    0.527297    0.005896
          18    0.699206    0.698853    0.658186  0.00588763
          18    0.839047    0.758886    0.750435  0.00392449
          18    0.978888     0.75968    0.783989  0.00615198
          18     1.11873     0.75328    0.756609  0.00594001
          18     1.25857    0.680203    0.699233   0.0055063
          18     1.39841      0.5898    0.600504  0.00450841
          18     1.53825    0.473862    0.490662  0.00508225
          18     1.67809    0.354436     0.38424  0.00400711
          18     1.81794    0.281294    0.285269   0.0038257
          18     1.95778    0.201618    0.202477  0.00285726
          18     2.09762    0.132823    0.139338  0.00195601
          18     2.23746    0.100952   0.0893479  0.00187683
          18      2.3773   0.0520211   0.0519058  0.00141134
          18     2.51714   0.0300606   0.0312315  0.00151917
          18     2.65698    0.018694   0.0173355 0.000990617
          18     2.79682  0.00984362   0.0094255 0.000662448
          18     2.93666  0.00516459  0.00544783 0.000557234
          18     3.07651  0.00450246  0.00279319 0.000350619
          18     3.21635  0.00222916  0.00131322 0.000270013
          18     3.35619  0.00150082 0.000522344 0.000156584
          18     3.49603  0.00178774 0.000310219 0.000115083
          18     3.63587 0.000551772  0.00013733 5.81504e-05
          18     3.77571 0.000684198 0.000120164 6.15093e-05
          18     3.91555           0 4.53679e-05 2.77704e-05
          18     4.05539           0 7.97004e-05 4.96902e-05
          19           0   0.0106161    0.011291 0.000641723
          19    0.139841   0.0749307   0.0797236  0.00165392
          19    0.279682    0.196056    0.206857   0.0027684
          19    0.419524    0.378163    0.364631  0.00308166
          19    0.559365    0.505821    0.526167    0.005693
          19    0.699206     0.65705    0.658126  0.00557806
          19    0.839047    0.736395    0.749696  0.00378687
          19    0.978888    0.787644    0.784181   0.0058312
          19     1.11873    0.775218    0.757588  0.00570755
          19     1.25857    0.716024    0.700117  0.00528694
          19     1.39841    0.619905    0.601525  0.00438524
          19     1.53825    0.488054    0.490524  0.00481662
          19     1.67809    0.376198    0.383816  0.00381849
          19     1.81794    0.278491    0.284912  0.00364094
          19     1.95778     0.20228    0.202467   0.0027069
          19     2.09762    0.142975     0.13953   0.0018624
          19     2.23746   0.0792566   0.0888168  0.00185168
          19      2.3773   0.0517342   0.0518968  0.00133709
          19     2.51714   0.0360197   0.0314835  0.00145997
          19     2.65698   0.0201728   0.0174848 0.000949668
          19     2.79682  0.00869593   0.0093871 0.000628694
          19     2.93666  0.00359756  0.00535045 0.000536348
          19     3.07651   0.0018981  0.00274608 0.000335315
          19     3.21635  0.00116976  0.00130567 0.000255907
